//HSK 2012-2017/Level 1
主要[主要]	zhu3yao4
注意[注意]	zhu4yi4
自己[自己]	zi4ji3
自行车[自行車]	zi4xing2che1
总是[總是]	zong3shi4
嘴[嘴]	zui3
最后[最後]	zui4hou4
最近[最近]	zui4jin4
作业[作業]	zuo4ye4
// HSK 2012-2017/Level 4
爱情[愛情]	ai4qing2
安排[安排]	an1pai2
安全[安全]	an1quan2
按时[按時]	an4shi2
按照[按照]	an4zhao4
百分之…	bai3fen1zhi1...	... percent
棒[棒]	bang4
包子[包子]	bao1zi5
保护[保護]	bao3hu4
保证[保證]	bao3zheng4
报名[報名]	bao4ming2
抱[抱]	bao4
抱歉[抱歉]	bao4qian4
倍[倍]	bei4
本来[本來]	ben3lai2
笨[笨]	ben4
比如[比如]	bi3ru2
毕业[畢業]	bi4ye4
遍[遍]	bian4
标准[標準]	biao1zhun3
表格[表格]	biao3ge2
表示[表示]	biao3shi4
表演[表演]	biao3yan3
表扬[表揚]	biao3yang2
饼干[餅乾]	bing3gan1
并且[並且]	bing4qie3
博士[博士]	bo2shi4
不得不[不得不]	bu4de2bu4
不管[不管]	bu4guan3
不过[不過]	bu4guo4
不仅[不僅]	bu4jin3
部分[部分]	bu4fen5
擦[擦]	ca1
猜[猜]	cai1
材料[材料]	cai2liao4
参观[參觀]	can1guan1
餐厅[餐廳]	can1ting1
厕所[廁所]	ce4suo3
差不多[差不多]	cha4bu5duo1
长城[長城]	chang2cheng2
长江[長江]	Chang2jiang1
尝[嘗]	chang2
场[場]	chang3
超过[超過]	chao1guo4
成功[成功]	cheng2gong1
成为[成為]	cheng2wei2
诚实[誠實]	cheng2shi2
乘坐[乘坐]	cheng2zuo4
吃惊[吃驚]	chi1jing1
重新[重新]	chong2xin1
抽烟[抽煙]	chou1yan1
出差[出差]	chu1chai1
出发[出發]	chu1fa1
出生[出生]	chu1sheng1
出现[出現]	chu1xian4
厨房[廚房]	chu2fang2
传真[傳真]	chuan2zhen1
窗户[窗戶]	chuang1hu5
词语[詞語]	ci2yu3
从来[從來]	cong2lai2
粗心[粗心]	cu1xin1
存[存]	cun2
错误[錯誤]	cuo4wu4
答案[答案]	da2an4
打扮[打扮]	da3ban5
打扰[打擾]	da3rao3
打印[打印]	da3yin4
打招呼[打招呼]	da3zhao1hu5
打折[打折]	da3zhe2
打针[打針]	da3zhen1
大概[大概]	da4gai4
大使馆[大使館]	da4shi3guan3
大约[大約]	da4yue1
大夫[大夫]	dai4fu5
戴[戴]	dai4
当[當]	dang1
当时[當時]	dang1shi2
刀[刀]	dao1
导游[導遊]	dao3you2
到处[到處]	dao4chu4
到底[到底]	dao4di3
倒[倒]	dao4
道歉[道歉]	dao4qian4
得意[得意]	de2yi4
得[得]	dei3
登机牌[登機牌]	deng1ji1pai2
等[等]	deng3
低[低]	di1
底[底]	di3
地点[地點]	di4dian3
地球[地球]	di4qiu2
地址[地址]	di4zhi3
调查[調查]	diao4cha2
掉[掉]	diao4
丢[丟]	diu1
动作[動作]	dong4zuo4
堵车[堵車]	du3che1
肚子[肚子]	du4zi5
短信[短信]	duan3xin4
对话[對話]	dui4hua4
对面[對面]	dui4mian4
对于[對於]	dui4yu2
儿童[兒童]	er2tong2
而[而]	er2
发生[發生]	fa1sheng1
发展[發展]	fa1zhan3
法律[法律]	fa3lv4
翻译[翻譯]	fan1yi4
烦恼[煩惱]	fan2nao3
反对[反對]	fan3dui4
方法[方法]	fang1fa3
方面[方面]	fang1mian4
方向[方向]	fang1xiang4
房东[房東]	fang2dong1
放弃[放棄]	fang4qi4
放暑假[放暑假]	fang4shu3jia4
放松[放鬆]	fang4song1
份[份]	fen4
丰富[豐富]	feng1fu4
否则[否則]	fou3ze2
符合[符合]	fu2he2
父亲[父親]	fu4qin5
付款[付款]	fu4kuan3
负责[負責]	fu4ze2
复印[複印]	fu4yin4
复杂[複雜]	fu4za2
富[富]	fu4
改变[改變]	gai3bian4
干杯[乾杯]	gan1bei1
赶[趕]	gan3
敢[敢]	gan3
感动[感動]	gan3dong4
感觉[感覺]	gan3jue2
感情[感情]	gan3qing2
感谢[感謝]	gan3xie4
干[幹]	gan4
刚[剛]	gang1
高速公路[高速公路]	gao1su4gong1lu4
胳膊[胳膊]	ge1bo5
各[各]	ge4
工资[工資]	gong1zi1
公里[公里]	gong1li3
功夫[功夫]	gong1fu5
共同[共同]	gong4tong2
购物[購物]	gou4wu4
够[夠]	gou4
估计[估計]	gu1ji4
鼓励[鼓勵]	gu3li4
故意[故意]	gu4yi4
顾客[顧客]	gu4ke4
挂[掛]	gua4
关键[關鍵]	guan1jian4
观众[觀眾]	guan1zhong4
管理[管理]	guan3li3
光[光]	guang1
广播[廣播]	guang3bo1
广告[廣告]	guang3gao4
逛[逛]	guang4
规定[規定]	gui1ding4
国籍[國籍]	guo2ji2
国际[國際]	guo2ji4
果汁[果汁]	guo3zhi1
过程[過程]	guo4cheng2
海洋[海洋]	hai3yang2
害羞[害羞]	hai4xiu1
寒假[寒假]	han2jia4
汗[汗]	han4
航班[航班]	hang2ban1
好处[好處]	hao3chu5
好像[好像]	hao3xiang4
号码[號碼]	hao4ma3
合格[合格]	he2ge2
合适[合適]	he2shi4
盒子[盒子]	he2zi5
后悔[後悔]	hou4hui3
厚[厚]	hou4
互联网[互聯網]	hu4lian2wang3
互相[互相]	hu4xiang1
护士[護士]	hu4shi5
怀疑[懷疑]	huai2yi2
回忆[回憶]	hui2yi4
活动[活動]	huo2dong4
活泼[活潑]	huo2po5
火[火]	huo3
获得[獲得]	huo4de2
积极[積極]	ji1ji2
积累[積累]	ji1lei3
基础[基礎]	ji1chu3
激动[激動]	ji1dong4
及时[及時]	ji2shi2
即使[即使]	ji2shi3
计划[計劃]	ji4hua4
记者[記者]	ji4zhe3
技术[技術]	ji4shu4
既然[既然]	ji4ran2
继续[繼續]	ji4xu4
寄[寄]	ji4
加班[加班]	jia1ban1
加油站[加油站]	jia1you2zhan4
家具[家具]	jia1ju5
假[假]	jia3
假[假]	jia4
价格[價格]	jia4ge2
坚持[堅持]	jian1chi2
减肥[減肥]	jian3fei2
减少[減少]	jian3shao3
建议[建議]	jian4yi4
将来[將來]	jiang1lai2
奖金[獎金]	jiang3jin1
降低[降低]	jiang4di1
降落[降落]	jiang4luo4
交[交]	jiao1
交流[交流]	jiao1liu2
交通[交通]	jiao1tong1
郊区[郊區]	jiao1qu1
骄傲[驕傲]	jiao1ao4
饺子[餃子]	jiao3zi5
教授[教授]	jiao4shou4
教育[教育]	jiao4yu4
接受[接受]	jie1shou4
接着[接著]	jie1zhe5
节[節]	jie2
节约[節約]	jie2yue1
结果[結果]	jie2guo3
解释[解釋]	jie3shi4
尽管[儘管]	jin3guan3
紧张[緊張]	jin3zhang1
进行[進行]	jin4xing2
禁止[禁止]	jin4zhi3
京剧[京劇]	jing1ju4
经济[經濟]	jing1ji4
经历[經歷]	jing1li4
经验[經驗]	jing1yan4
精彩[精彩]	jing1cai3
景色[景色]	jing3se4
警察[警察]	jing3cha2
竞争[競爭]	jing4zheng1
竟然[竟然]	jing4ran2
镜子[鏡子]	jing4zi5
究竟[究竟]	jiu1jing4
举[舉]	ju3
举办[舉辦]	ju3ban4
举行[舉行]	ju3xing2
拒绝[拒絕]	ju4jue2
距离[距離]	ju4li2
聚会[聚會]	ju4hui4
开玩笑[開玩笑]	kai1wan2xiao4
开心[開心]	kai1xin1
看法[看法]	kan4fa3
考虑[考慮]	kao3lv4
烤鸭[烤鴨]	kao3ya1
科学[科學]	ke1xue2
棵[棵]	ke1
咳嗽[咳嗽]	ke2sou5
可怜[可憐]	ke3lian2
可是[可是]	ke3shi4
可惜[可惜]	ke3xi1
客厅[客廳]	ke4ting1
肯定[肯定]	ken3ding4
空[空]	kong1
空气[空氣]	kong1qi4
恐怕[恐怕]	kong3pa4
苦[苦]	ku3
矿泉水[礦泉水]	kuang4quan2shui3
困[困]	kun4
困难[困難]	kun4nan5
垃圾桶[垃圾桶]	la1ji1tong3
拉[拉]	la1
辣[辣]	la4
来不及[來不及]	lai2bu5ji2
来得及[來得及]	lai2de5ji2
来自[來自]	lai2zi4
懒[懶]	lan3
浪费[浪費]	lang4fei4
浪漫[浪漫]	lang4man4
老虎[老虎]	lao3hu3
冷静[冷靜]	leng3jing4
礼拜天[禮拜天]	li3bai4tian1
礼貌[禮貌]	li3mao4
理发[理髮]	li3fa4
理解[理解]	li3jie3
理想[理想]	li3xiang3
力气[力氣]	li4qi5
厉害[厲害]	li4hai5
例如[例如]	li4ru2
俩[倆]	lia3
连[連]	lian2
联系[聯繫]	lian2xi4
凉快[涼快]	liang2kuai5
零钱[零錢]	ling2qian2
另外[另外]	ling4wai4
留[留]	liu2
流利[流利]	liu2li4
流行[流行]	liu2xing2
旅行[旅行]	lv3xing2
律师[律師]	lv4shi1
乱[亂]	luan4
麻烦[麻煩]	ma2fan5
马虎[馬虎]	ma3hu5
满[滿]	man3
毛[毛]	mao2
毛巾[毛巾]	mao2jin1
美丽[美麗]	mei3li4
梦[夢]	meng4
迷路[迷路]	mi2lu4
密码[密碼]	mi4ma3
免费[免費]	mian3fei4
秒[秒]	miao3
民族[民族]	min2zu2
母亲[母親]	mu3qin5
目的[目的]	mu4di4
耐心[耐心]	nai4xin1
难道[難道]	nan2dao4
难受[難受]	nan2shou4
内[內]	nei4
内容[內容]	nei4rong2
能力[能力]	neng2li4
年龄[年齡]	nian2ling2
弄[弄]	nong4
暖和[暖和]	nuan3huo5
偶尔[偶爾]	ou3er3
排队[排隊]	pai2dui4
排列[排列]	pai2lie4
判断[判斷]	pan4duan4
陪[陪]	pei2
批评[批評]	pi1ping2
皮肤[皮膚]	pi2fu1
脾气[脾氣]	pi2qi5
篇[篇]	pian1
骗[騙]	pian4
乒乓球[乒乓球]	ping1pang1qiu2
平时[平時]	ping2shi2
破[破]	po4
葡萄[葡萄]	pu2tao5
普遍[普遍]	pu3bian4
普通话[普通話]	pu3tong1hua4
其次[其次]	qi2ci4
其中[其中]	qi2zhong1
气候[氣候]	qi4hou4
千万[千萬]	qian1wan4
签证[簽證]	qian1zheng4
敲[敲]	qiao1
桥[橋]	qiao2
巧克力[巧克力]	qiao3ke4li4
亲戚[親戚]	qin1qi5
轻[輕]	qing1
轻松[輕鬆]	qing1song1
情况[情況]	qing2kuang4
穷[窮]	qiong2
区别[區別]	qu1bie2
取[取]	qu3
全部[全部]	quan2bu4
缺点[缺點]	que1dian3
缺少[缺少]	que1shao3
却[卻]	que4
确实[確實]	que4shi2
然而[然而]	ran2er2
热闹[熱鬧]	re4nao5
任何[任何]	ren4he2
任务[任務]	ren4wu5
扔[扔]	reng1
仍然[仍然]	reng2ran2
日记[日記]	ri4ji4
入口[入口]	ru4kou3
散步[散步]	san4bu4
森林[森林]	sen1lin2
沙发[沙發]	sha1fa1
伤心[傷心]	shang1xin1
商量[商量]	shang1liang5
稍微[稍微]	shao1wei1
勺子[勺子]	shao2zi5
社会[社會]	she4hui4
申请[申請]	shen1qing3
深[深]	shen1
甚至[甚至]	shen4zhi4
生活[生活]	sheng1huo2
生命[生命]	sheng1ming4
生意[生意]	sheng1yi5
省[省]	sheng3
剩[剩]	sheng4
失败[失敗]	shi1bai4
失望[失望]	shi1wang4
师傅[師傅]	shi1fu5
十分[十分]	shi2fen1
实际[實際]	shi2ji4
实在[實在]	shi2zai4
使[使]	shi3
使用[使用]	shi3yong4
世纪[世紀]	shi4ji4
是否[是否]	shi4fou3
适合[適合]	shi4he2
适应[適應]	shi4ying4
收[收]	shou1
收入[收入]	shou1ru4
收拾[收拾]	shou1shi5
首都[首都]	shou3du1
首先[首先]	shou3xian1
受不了[受不了]	shou4bu5liao3
受到[受到]	shou4dao4
售货员[售貨員]	shou4huo4yuan2
输[輸]	shu1
熟悉[熟悉]	shu2xi1
数量[數量]	shu4liang4
数字[數字]	shu4zi4
帅[帥]	shuai4
顺便[順便]	shun4bian4
顺利[順利]	shun4li4
顺序[順序]	shun4xu4
说明[說明]	shuo1ming2
